0,1,1.01300000767,0.098716682372007,0.001283316870836,7.57156953793294E-10,-1.00560944864857,-2.89166609634173,-9.12081408469959,0,-14
0.5,0.316227766016838,0.104110968628219,0.09605135877383,0.003948633859031,7.36713921795275E-09,-1.01749648708753,-2.40355313478069,-8.13270112313855,-0.5,-13.5
1.5,0.031622776601684,0.001411103765822,0.070866510615366,0.029132945838498,5.43546136419858E-07,-1.14955895086766,-1.53561559856083,-6.26476358691868,-1.5,-12.5
2,0.01,0.00023000767,0.043476811012433,0.056519854316163,3.33467140465359E-06,-1.36174231855297,-1.24779896624613,-5.47694695460399,-2,-12
2.5,0.003162277660168,5.11172795821889E-05,0.019562856399511,0.080422138889631,1.50047108584247E-05,-1.70856773298521,-1.09462438067838,-4.82377236903623,-2.5,-11.5
3,0.001,1.400767E-05,0.007138946020287,0.092806298263737,5.47557159756048E-05,-2.14636590185986,-1.03242254955302,-4.26157053791088,-3,-11
3.5,0.000316227766017,4.21863095821889E-06,0.002370437257736,0.097447750204596,0.000181812537668,-2.62517153537971,-1.01122818307287,-3.74037617143072,-3.5,-10.5
4,0.0001,1.31767E-06,0.00075891535817,0.098658996562113,0.000582088079716,-3.11980665826721,-1.00586330596037,-3.23501129431822,-4,-10
4.5,3.16227766016838E-05,4.19766095821889E-07,0.000238227910723,0.097934564014032,0.001827208075245,-3.62300735803845,-1.00906400573161,-2.73821199408947,-4.5,-9.5
5,1E-05,1.3777E-07,7.25847426870872E-05,0.094360165493213,0.0055672497641,-4.1391546584069,-1.02521130610007,-2.25435929445792,-5,-9
5.5,3.16227766016838E-06,4.87896095821889E-08,2.04961672897882E-05,0.084258943521443,0.015720560311268,-4.68832734287186,-1.07438399056502,-1.80353197892288,-5.5,-8.5
6,1E-06,2.0671E-08,4.83769532194862E-06,0.062890039185332,0.037105123119346,-5.31536148697933,-1.2014181346725,-1.43056612303035,-6,-8
6.5,3.16227766016838E-07,1.17810609582189E-08,8.48819986201976E-07,0.034894658238322,0.065104492941692,-6.07118440314648,-1.45724105083965,-1.1863890391975,-6.5,-7.5
7,1E-07,8.97001E-09,1.11482595894542E-07,0.014492737466291,0.085507151051114,-6.95279292720712,-1.83884957490029,-1.06799756325814,-7,-7
7.5,3.16227766016838E-08,8.08109709582189E-09,1.23745574164308E-08,0.005087132241419,0.094912855384024,-7.90747032492281,-2.29352697261597,-1.02267496097383,-7.5,-6.5
8,1E-08,7.8000001E-09,1.28205126561473E-09,0.001666666645299,0.09833333207265,-8.89209460825836,-2.77815125595152,-1.00729924430938,-8,-6
8.5,3.16227766016838E-09,7.71110961958219E-09,1.29683022202216E-10,0.000533121841217,0.0994668780291,-9.8871168770117,-3.27317352470487,-1.00232151306272,-8.5,-5.5
9,1E-09,7.683000001E-09,1.30157490546641E-11,0.000169204737711,0.099830795249274,-10.8855308332446,-3.77158748093778,-1.00073546929564,-9,-5
9.5,3.16227766016838E-10,7.67411096105822E-09,1.30308253955987E-12,5.35692144546736E-05,0.099946430784242,-11.8850280744332,-4.27108472212634,-1.00023271048419,-9.5,-4.5
10,1E-10,7.67130000001E-09,1.30356002241953E-13,1.69462802914539E-05,0.099983053719578,-12.8848689669464,-4.77092561463957,-1.00007360299742,-10,-4
10.5,3.16227766016838E-11,7.67041109609682E-09,1.30371108858671E-14,5.35950538597704E-06,0.099994640494601,-13.884818640609,-5.27087528830211,-1.00002327665997,-10.5,-3.5
11,1E-11,7.6701300000001E-09,1.30375886718998E-15,1.69488652734697E-06,0.099998305113471,-14.88480272481,-5.77085937250319,-1.00000736086105,-11,-3
11.5,3.16227766016838E-12,7.67004110960959E-09,1.30377397683974E-16,5.35976391712996E-07,0.099999464023608,-15.8847976916711,-6.27085433936428,-1.00000232772213,-11.5,-2.5
