time,A,B,C
0.0,2.0,0.5,0.0
0.01001001001001001,1.8956608336733072,0.5137385689062371,0.059219478111792456
0.02002002002002002,1.8017796769293755,0.5269532124107104,0.11328781049020001
0.03003003003003003,1.7169506996406996,0.5396812781900621,0.162897796602164
0.04004004004004004,1.640010375345519,0.5519564733809803,0.20862305134950931
0.050050050050050046,1.5699873880037165,0.5638093759458059,0.2509426709660002
0.06006006006006006,1.5060643514553518,0.575267857050888,0.29026007514841157
0.07007007007007007,1.4475483809208594,0.5863574287296943,0.32691748628564776
0.08008008008008008,1.3938481638730518,0.5971015350253073,0.3612072071983606
0.09009009009009009,1.3444558938349394,0.6075217959321474,0.3933805038857083
0.10010010010010009,1.2989329721604956,0.6176382139992433,0.42365463358919453
0.11011011011011011,1.2568985329330347,0.6274693504172425,0.4522184836204537
0.12012012012012012,1.2180201971802633,0.637032475966428,0.47923711359140025
0.13013013013013014,1.182006525605516,0.6463437013937922,0.5048554624136605
0.14014014014014015,1.1486008617227859,0.6554180900286578,0.5292013716966237
0.15015015015015015,1.1175762491780328,0.6642697561731039,0.552388081302696
0.16016016016016016,1.0887312180812183,0.6729119511809425,0.5745162979256471
0.17017017017017017,1.0618862694247542,0.6813571391665241,0.5956759207834036
0.18018018018018017,1.0368809297170811,0.689617063837643,0.6159474872949864
0.19019019019019018,1.0135712734773201,0.6977028078014432,0.6354033890887509
0.20020020020020018,0.9918278090861088,0.7056248455513671,0.6541089096754201
0.21021021021021022,0.9715336989381003,0.7133930904182758,0.6721230979921252
0.22022022022022023,0.9525832273715144,0.7210169370199442,0.6894995204601913
0.23023023023023023,0.934880492625447,0.7285052993134021,0.7062869031071018
0.24024024024024024,0.9183382785091279,0.7358666449560759,0.7225296855497572
0.2502502502502503,0.9028770792916958,0.743109026428681,0.7382684998382131
0.2602602602602603,0.8884242508544244,0.750240109355735,0.7535405873874574
0.2702702702702703,0.8749132867148588,0.7572671980250034,0.768380154671686
0.2802802802802803,0.862283160029401,0.7641972592360503,0.7828186966178852
0.2902902902902903,0.8504777723784974,0.7710369436111781,0.7968852676091861
0.3003003003003003,0.8394454550268653,0.7777926053453744,0.8106067267486876
0.3103103103103103,0.8291385348975797,0.7844703204128997,0.8240079514458849
0.3203203203203203,0.8195129540583913,0.7910759032344169,0.8371120247497774
0.3303303303303303,0.8105279253515886,0.7976149222640856,0.8499404049733621
0.34034034034034033,0.8021456330043287,0.8040927142469951,0.862513073256489
0.35035035035035034,0.794330965825183,0.8105143974783048,0.8748486651613948
0.36036036036036034,0.7870512746985739,0.8168848842463903,0.8869645903576956
0.37037037037037035,0.7802761587630407,0.8232088923193596,0.8988771382315257
0.38038038038038036,0.773977284283172,0.8294909554376261,0.910601567475894
0.39039039039039036,0.7681281955394443,0.8357354338041068,0.9221521995970474
0.40040040040040037,0.7627041749756514,0.8419465231140492,0.933542488260392
0.41041041041041043,0.7576820931864103,0.8481282635734116,0.9447850935807695
0.42042042042042044,0.7530402940577726,0.8542845478975615,0.9558919392088663
0.43043043043043044,0.7487584703680992,0.860419129381131,0.9668742740785033
0.44044044044044045,0.7448175705987428,0.8665356289313083,0.9777427188407236
0.45045045045045046,0.7411996968763901,0.8726375422366245,0.988507316642778
0.46046046046046046,0.7378880274722207,0.8787282460508773,0.9991775718561072
0.47047047047047047,0.7348667331930735,0.8848110045063033,1.0097624917784827
0.4804804804804805,0.7321209121083623,0.890888974794923,1.020270619355113
0.4904904904904905,0.7296365205579606,0.8969652128309249,1.0307100677053453
0.5005005005005005,0.7274003167724972,0.9030426783857171,1.0410885484523889
0.5105105105105106,0.7253998053900312,0.9091242400926883,1.051413399604463
0.5205205205205206,0.7236231944112407,0.9152126799501902,1.0616916073354903
0.5305305305305306,0.7220593361564819,0.9213106983036008,1.0719298356007043
0.5405405405405406,0.7206976971302339,0.9274209176916691,1.0821344415631284
0.5505505505505506,0.7195283144717206,0.9335458870783045,1.0923114975774229
0.5605605605605606,0.718541759210742,0.9396880857590653,1.102466809831484
0.5705705705705706,0.7177291087209836,0.9458499268757742,1.112605932480333
0.5805805805805806,0.7170819082624185,0.9520337612705699,1.1227341871158563
0.5905905905905906,0.7165921500209401,0.9582418805590192,1.1328566736388879
0.6006006006006006,0.7162522423720455,0.9644765205814725,1.1429782859311408
0.6106106106106106,0.7160549863338355,0.970739864471194,1.1531037239859983
0.6206206206206206,0.715993555064175,0.9770340455214926,1.1632375045326668
0.6306306306306306,0.7160614688084577,0.9833611501927606,1.1733839738826368
0.6406406406406406,0.7162525794515363,0.989723220665856,1.183547316064878
0.6506506506506506,0.7165610488957388,0.9961222576310547,1.1937315639841972
0.6606606606606606,0.716981333336501,1.0025602227331813,1.2039406076711143
0.6706706706706707,0.7175081674760208,1.009039040980393,1.2141782025564565
0.6806806806806807,0.7181365476130718,1.0155606031723896,1.224447978293774
0.6906906906906907,0.718861720791242,1.0221267679731216,1.2347534445965394
0.7007007007007007,0.7196791706068493,1.0287393641281934,1.2450979987151714
0.7107107107107107,0.7205846018989812,1.035400192738114,1.2554849334692806
0.7207207207207207,0.7215739308383089,1.0421110291449112,1.2659174426000883
0.7307307307307307,0.7226432726826091,1.0488736249456765,1.2763986272765657
0.7407407407407407,0.723788937021891,1.0556897095364077,1.2869314988889045
0.7507507507507507,0.7250074125705976,1.0625609922209176,1.297518987012267
0.7607607607607607,0.7262953574706411,1.069489163972003,1.3081639446390698
0.7707707707707707,0.7276495950222641,1.0764758989376557,1.3188691507584107
0.7807807807807807,0.7290671031997117,1.083522856170451,1.3296373159645187
0.7907907907907907,0.730545005675303,1.0906316812663204,1.3404710873260397
0.8008008008008007,0.7320805661205813,1.0978040078491345,1.3513730516531477
0.8108108108108109,0.7336711810900635,1.1050414590823698,1.3623457394539376
0.8208208208208209,0.7353143725074348,1.1123456491708257,1.3733916290832233
0.8308308308308309,0.7370077822636241,1.1197181846788085,1.3845131498304315
0.8408408408408409,0.7387491668823716,1.1271606658039521,1.3957126849665227
0.8508508508508509,0.7405363910293272,1.134674687811863,1.40699257540115
0.8608608608608609,0.7423674225354826,1.1422618422902844,1.418355122565517
