0.000000000000000000e+00,2.790229782195767338e+00,8.370689346587301571e+00,1.441954043560846443e+01
1.000000000000000000e+00,2.647331884750965258e+00,7.941995654252895775e+00,1.633183949508979893e+01
2.000000000000000000e+00,2.529215675562868082e+00,7.587647026688605578e+00,1.784618513361273884e+01
3.000000000000000000e+00,2.432082024277694821e+00,7.296246072833086238e+00,1.904817165805262036e+01
4.000000000000000000e+00,2.352532428187227076e+00,7.057597284561682116e+00,2.000474363972520564e+01
5.000000000000000000e+00,2.287583305585469962e+00,6.862749916756409441e+00,2.076819976986481819e+01
6.000000000000000000e+00,2.234663085289294138e+00,6.703989255867881525e+00,2.137937115462266391e+01
7.000000000000000000e+00,2.191592189392313372e+00,6.574776568176939229e+00,2.187013837690701124e+01
8.000000000000000000e+00,2.156549672383781591e+00,6.469649017151344772e+00,2.226541625080403719e+01
9.000000000000000000e+00,2.128031829005591291e+00,6.384095487016773873e+00,2.258471017929792879e+01
1.000000000000000000e+01,2.104807902669461495e+00,6.314423708008384040e+00,2.284332950425982034e+01
1.100000000000000000e+01,2.085876874902426792e+00,6.257630624707280376e+00,2.305332849122078187e+01
1.200000000000000000e+01,2.070427887391963484e+00,6.211283662175890008e+00,2.322423311451778716e+01
1.300000000000000000e+01,2.057805577250946261e+00,6.173416731752839226e+00,2.336360096131980413e+01
1.400000000000000000e+01,2.047480673133356355e+00,6.142442019400069064e+00,2.347745216946916003e+01
1.500000000000000000e+01,2.039025615450788198e+00,6.117076846352365038e+00,2.357060131858392182e+01
1.600000000000000000e+01,2.032094659122011926e+00,6.096283977366036666e+00,2.364691356460490468e+01
1.700000000000000000e+01,2.026407804056539863e+00,6.079223412169619145e+00,2.370950294664381985e+01
1.800000000000000000e+01,2.021737900280700106e+00,6.065213700842099875e+00,2.376088655304491226e+01
1.900000000000000000e+01,2.017900335536566114e+00,6.053701006609698787e+00,2.380310493712070041e+01
2.000000000000000000e+01,2.014744797575133806e+00,6.044234392725400973e+00,2.383781664685896828e+01
2.100000000000000000e+01,2.012148690736025092e+00,6.036446072208074831e+00,2.386637281670623167e+01
2.200000000000000000e+01,2.010011866485368337e+00,6.030035599456105011e+00,2.388987632595337729e+01
2.300000000000000000e+01,2.008252396288857877e+00,6.024757188866574076e+00,2.390922894495034612e+01
2.400000000000000000e+01,2.006803171846297307e+00,6.020409515538891476e+00,2.392516907854098207e+01
2.500000000000000000e+01,2.005609163275334339e+00,6.016827489826003017e+00,2.393830210721575114e+01
2.600000000000000000e+01,2.004625201913971200e+00,6.013875605741914043e+00,2.394912486860120637e+01
2.700000000000000000e+01,2.003814182727951199e+00,6.011442548183854484e+00,2.395804547618180891e+01
2.800000000000000000e+01,2.003145603429914434e+00,6.009436810289743747e+00,2.396539940975068816e+01
2.900000000000000000e+01,2.002594374674245614e+00,6.007783124022736843e+00,2.397146261173004689e+01
3.000000000000000000e+01,2.002139849166744590e+00,6.006419547500233769e+00,2.397646216952072962e+01
3.100000000000000000e+01,2.001765028076750497e+00,6.005295084230252378e+00,2.398058504489824827e+01
3.200000000000000000e+01,2.001455911426345935e+00,6.004367734279037805e+00,2.398398521866225153e+01
